min_date,max_date,Variable (x),rho_1,rho_2,rho_3,rho_4,rho_5,mean,std
1999-12-31,2019-12-31,I_t,0.0309320931821371,0.0117418216489814,0.372968712186947,-0.164262323377465,-0.100875005384526,0.0137820007969124,0.0203549172640262
1999-12-31,2019-12-31,BG_t,-0.382632279859566,-0.213849958440808,-0.0654447879434201,0.433977579576451,-0.454427386220292,0.103212499788428,0.0770711707797993
1999-12-31,2019-12-31,CX_NS_t,0.357826592699679,0.0229290145858515,-0.449964188025207,-0.20259806012906,-0.123568434956313,0.0409163592636871,0.00337354089295412
1999-12-31,2019-12-31,ROC_t,0.709021502475491,0.403722324126009,0.0686738355403766,-0.132241057514202,-0.041410274335815,0.566105943671895,0.0154800835889647
1999-12-31,2019-12-31,dCX_NS_t,-0.199201724000662,0.137934461555176,-0.307754072062478,0.0503847065303075,-0.178349573892369,-0.000227265195149606,0.00341663292329524
1999-12-31,2019-12-31,dROC_t,-0.082915162396459,-0.0112409477259619,-0.186648575240315,-0.161044717065774,0.136939298760559,-0.000420951686942381,0.0116490870068889
1999-12-31,2019-12-31,dRGNP_t,-0.0139316480469286,-0.541169536217107,0.108454986693001,-0.0585566228845557,-0.276440108568986,0.0359151279372891,0.0237428914087215
1999-12-31,2019-12-31,dPR_t,-0.250194671373336,-0.172844188879069,-0.156468954702695,0.0859952233229548,-0.240698558597543,0.0302597004214919,0.0187817132180763
1999-12-31,2019-12-31,RS_t,-0.296783897187658,-0.147344652932346,-0.00683424739437306,0.00222002603041413,-0.164976149014338,0.0368561950395052,0.236621629360856
1999-12-31,2008-09-30,I_t,-0.379861420642624,-0.27393303949181,0.538108066909158,-0.662895616076363,-0.211218266532699,0.0188659638668998,0.0264210019400112
1999-12-31,2008-09-30,BG_t,-0.445222572756269,-0.363993930198929,0.210408044744752,0.619024024066257,-0.9681430721455,0.104522299283021,0.0830499970378741
1999-12-31,2008-09-30,CX_NS_t,0.457921423957003,0.080238428527193,-0.906738586199205,-0.710037062437829,-0.591361355783743,0.0406727700048065,0.00439453285253732
1999-12-31,2008-09-30,ROC_t,0.437699494520842,-0.234889992564035,-0.773535742584272,-0.631452729147777,-0.214116023637506,0.568607182484836,0.0137598176912418
1999-12-31,2008-09-30,dCX_NS_t,-0.206883132640812,0.512312470784638,-0.705540451693411,0.106148586661618,-0.432314053726452,-0.000994863599231963,0.00404651593881012
1999-12-31,2008-09-30,dROC_t,-0.0403561880481015,-0.165907980603255,-0.230936205945288,0.106243278773377,0.653848399179392,0.00048760964809311,0.0143735146612382
1999-12-31,2008-09-30,dRGNP_t,0.181406586200964,-0.18439474432115,-0.41682369872853,-0.313519607090681,-0.293110373413866,0.0392282844622673,0.0220683803507404
1999-12-31,2008-09-30,dPR_t,-0.346935523894439,-0.0376101827563004,-0.186257112965058,-0.0612613762459646,-0.312797750956002,0.0301434367824282,0.0253892910797608
1999-12-31,2008-09-30,RS_t,-0.0423150076048041,-0.0328553554836075,-0.491688639713081,-0.262800870466342,-0.831076263431792,0.0157561897219224,0.308843405780696
2008-10-31,2019-12-31,I_t,0.693919870885088,0.492672683166996,0.165372445415331,0.216337080779732,0.0506444302571822,0.00996902849442192,0.0144436622482816
2008-10-31,2019-12-31,BG_t,-0.410597855571717,-0.0747113035505373,-0.361189072390737,0.297309279068933,0.359511249351199,0.102230150167484,0.0760346039293804
2008-10-31,2019-12-31,CX_NS_t,0.319412663795339,0.0939343963200796,0.0943641145861944,-0.192270001326028,0.0890952062850754,0.0410990512078475,0.00256170528238026
2008-10-31,2019-12-31,ROC_t,0.94479951134336,0.863493787860373,0.798256243341729,0.697816616782527,0.532385102613937,0.564230014562189,0.0170012406353906
2008-10-31,2019-12-31,dCX_NS_t,-0.484640004930295,-0.179532735009426,0.228894891065487,-0.407345651090202,0.0476832723096388,0.000348433607912161,0.00291068978976768
2008-10-31,2019-12-31,dROC_t,0.154158695684642,-0.120025910562039,0.321508247530256,0.147894038070652,-0.788695680730464,-0.001102372688219,0.00976189160078033
2008-10-31,2019-12-31,dRGNP_t,-0.308087939838893,-0.621609424939561,0.430949044448525,-0.0844472915612718,-0.312051482543805,0.0334302605435555,0.0255938606123403
2008-10-31,2019-12-31,dPR_t,-0.312550936808367,0.046300426483035,-0.139799074741371,0.0986148635478911,-0.231091991398967,0.0303468981507896,0.0131353558951916
2008-10-31,2019-12-31,RS_t,0.115941489403446,-0.776708489450177,-0.294283056543022,0.248314900050929,0.865205918788126,0.0526811990276923,0.178302565687867
